'san'shi'liu'zhao 三十六着
'san'shi'nian'he'dong'san'shi'nian'he 三十年河东三十年河
'san'si'er'hou 三思而后
'san'tai'wu'ma 三台五马
'san'tou'er'mian 三头二面
'san'wa'si'she 三瓦四舍
'san'xia'wu'chu 三下五除
'san'yan'er'yu 三言二语
'san'yan'wu'yu 三言五语
'san'yu'san'xun 三浴三熏
'san'yue'bu'zhi 三月不知
'san'zhe'gu'wei 三折股为
'san'zhe'qi'gong 三折其肱
'san'zhe'zhi'gong 三折之肱
'san'zheng'qi'pi 三征七辟
'san'zheng'qi'bi 三征七辟
'san'zhi'shou 三只手
'san'shi'du'he 三豕渡河
'san'fa'chou'zan 散发抽簪
'san'men'xiao'chou 散闷消愁
'san'tan'zi 散摊子
'sang'men'shen 丧门神
'sao'er'chui'xiong 搔耳捶胸
'sao'tian'gua'di 扫田刮地
'sao'xing'er'hui 扫兴而回
'sao'zhou'xing 扫帚星
'se'se'suo'suo 瑟瑟缩缩
'se'fei'mei'wu 色飞眉舞
'se'ji'shi'kong 色即是空
'se'shuai'ai'qin 色衰爱寝
'se'yi'jue'lun 色艺绝伦
'se'yi'wu'shuang 色艺无双
'se'zhong'e'gui 色中饿鬼
'seng'lai'kan'fo 僧来看佛
'seng'lai'kan'fu 僧来看佛
'sha'fa'jue'duan 杀伐决断
'sha'fu'ji'pin 杀富济贫
'sha'hui'ma'qiang 杀回马枪
'sha'ji'che'bo 杀鸡扯脖
'sha'ji'chui'shu 杀鸡炊黍
'sha'ji'yan'yong 杀鸡焉用
'sha'ren'bu'yong'dao 杀人不用刀
'sha'ren'chang'ming 杀人偿命
'sha'ren'jie'cai 杀人劫财
'sha'ren'ru'jie 杀人如芥
'sha'ren'xu'jian 杀人须见
'sha'shen'cheng'ming 杀身成名
'sha'shen'chu'sheng 杀身出生
'sha'shen'jiu'guo 杀身救国
'sha'sheng'hai'ming 杀生害命
'sha'sheng'yu'duo 杀生与夺
'sha'sheng'zhi'bing 杀生之柄
'sha'sheng'zhi'quan 杀生之权
'sha'shou'jian 杀手锏
'sha'wei'bang 杀威棒
'sha'li'sha'qi 傻里傻气
'sha'mei'leng'yan 傻眉楞眼
'sha'feng'jing 煞风景
'shan'bao'hai'hui 山包海汇
'shan'ben'hai'li 山奔海立
'shan'bu'zhuan'lu'zhuan 山不转路转
'shan'chi'hai'he 山吃海喝
'shan'gao'hai'shen 山高海深
'shan'hui'lu'zhuan 山回路转
'shan'ji'ying'shui 山鸡映水
'shan'ji'zhao'ying 山鸡照影
'shan'jian'lin'xia 山间林下
'shan'rui'ze'bu 山锐则不
'shan'yu'yu'lai 山雨欲来
'shan'zhen'hai'xu 山珍海胥
'shan'zhong'wu'lao'hu'hou'zi'cheng'ba'wang 山中无老虎猴子称霸王
'shan'zou'shi'qi 山走石泣
'shan'ga'la'er 山旮旯儿
'shan'wu'jiu'jian 删芜就简
'shan'jie'ren'yi 善解人意
'shan'huo'ren'xin 扇惑人心
'shan'jia'li'bing 缮甲厉兵
'shang'cai'lao'zhong 伤财劳众
'shang'yi'zhe'nv 伤夷折衄
'shang'yang'gu'wu 商羊鼓舞
'shang'bu'yi'jian 赏不遗贱
'shang'ci'wu'du 赏赐无度
'shang'fa'bu'dang 赏罚不当
'shang'fa'bu'xin 赏罚不信
'shang'fa'fen'shen 赏罚分审
'shang'fa'wu'zhang 赏罚无章
'shang'fa'chu'zhi 赏罚黜陟
'shang'bu'de'tai 上不得台
'shang'bu'dei'tai 上不得台
'shang'bu'shu'tian 上不属天
'shang'bu'zai'tian 上不在天
'shang'bu'zhan'tian 上不沾天
'shang'cuan'xia'tiao 上蹿下跳
'shang'dang'shou'pian 上当受骗
'shang'qi'bu'jie'xia'qi 上气不接下气
'shang'qiu'xia'gao 上求下告
'shang'shang'xia'xia 上上下下
'shang'tian'bu'fu 上天不负
'shang'tu'xia'xie 上吐下泻
'shang'tui'xia'xie 上推下卸
'shang'xia'da'liang 上下打量
'shang'xia'fan'teng 上下翻腾
'shang'xia'fu'dong 上下浮动
